ID,Movie,Year,Time,Rating,Metascore,Profit,Description
609,Captain America: Civil War,2016,147,7.8,75,408080000,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
622,Captain America: The Winter Soldier,2014,136,7.8,70,259770000,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
608,Captain Fantastic,2016,118,7.8,72,5880000,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
629,Captain Phillips,2013,134,7.8,82,107100000,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
537,Carlitos Way,1993,144,7.9,65,36950000,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
370,"Carry On, Munna Bhai",2006,144,8,73,2220000,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
58,Casablanca,1942,102,8.5,100,1020000,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
176,Casino,1995,178,8.2,73,42440000,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
379,Casino Royale,2006,144,8,80,167450000,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
673,Cast Away,2000,143,7.8,73,233630000,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
414,Castle in the Sky,1986,125,8,78,6200000,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
569,Cat on a Hot Tin Roof,1958,108,7.9,84,17570000,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
259,Catch Me If You Can,2002,141,8.1,75,164620000,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
932,Celda 211,2009,113,7.6,72,18300000,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
395,Central Station,1998,110,8,80,5600000,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
645,Changeling,2008,141,7.8,63,35740000,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.
564,Charade,1963,113,7.9,83,13470000,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
137,Chhichhore,2019,143,8.2,75,900000,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
175,Children of Heaven,1997,89,8.2,77,930000,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
521,Children of Men,2006,109,7.9,84,35550000,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
188,Chinatown,1974,130,8.2,92,8490000,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
402,Chungking Express,1994,102,8,78,600000,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
383,Cinderella Man,2005,144,8,69,61650000,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
50,Cinema Paradiso,1988,155,8.5,80,11990000,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
133,Citizen Kane,1941,119,8.3,100,1590000,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
60,City Lights,1931,87,8.5,99,20000,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
24,City of God,2002,130,8.6,79,7560000,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
845,Clerks,1994,92,7.7,70,3150000,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
985,Close Encounters of the Third Kind,1977,138,7.6,90,132090000,"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches."
68,Coco,2017,105,8.4,81,209730000,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
364,CODA,2021,111,8,74,2200000,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
248,Color It Yellow,2006,167,8.1,77,2200000,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
82,Come and See,1985,142,8.4,74,21000000,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
